,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
120,23.76729558,4.582167542,-0.588433609,-18.65839823,increase,R,15,32.43745946,17.39512522
121,2.580753245,-29.97192771,-24.64087739,-23.82995158,increase,R,16,6.870792796,-8.171541449
122,11.86987188,7.530502185,5.874974489,-7.07492484,increase,R,17,23.80412613,8.761791885
123,26.45569012,4.819593183,16.2745443,-19.92898204,increase,R,18,12.3707928,-2.671541449
124,28.90884026,-10.02192804,9.82218962,-37.58100248,increase,R,19,7.10412613,-7.938208115
126,-2.133962417,0.496295319,-1.054556657,2.860881302,random,L,0,-13.23166427,-3.382256867
127,-5.05635953,-2.919877482,8.052895883,3.243230959,random,L,1,-3.931664268,-9.082256867
128,0.327543653,-6.056007563,4.785113725,1.836101935,random,L,2,-2.331664268,-1.482256867
129,-1.732004766,-1.111844591,-2.603255677,2.032171864,random,L,3,5.718335732,3.567743133
130,-12.33673883,-6.463700687,2.49132507,0.460782059,random,L,4,-6.198330935,-2.348923534
131,-6.182658365,-2.181043011,-2.641363371,1.287515426,random,L,5,-9.448330935,-8.598923534
132,-2.700834091,-3.753573192,1.293596777,5.590353945,random,L,6,3.851669065,4.701076466
133,0.321970957,-6.16317778,-1.66481265,0.821971436,random,L,7,-4.948330935,-10.09892353
134,-2.304355982,-0.164844625,10.27855043,9.143851367,random,L,8,-6.831664268,-5.982256867
135,-12.35797508,-3.351254438,3.147381242,2.771476581,random,L,9,-2.998330935,-2.148923534
136,-2.007913605,3.817072901,3.879268334,3.953643531,random,L,10,-2.631664268,-1.782256867
137,1.850902275,-8.380198549,-7.006592359,0.588355636,random,L,11,-0.214997601,-2.365590201
138,-3.021820195,-11.10322483,-4.774438789,-3.409404491,random,L,12,4.751669065,2.601076466
139,1.865597001,-3.403088813,-2.574157895,-3.093207669,random,L,13,2.485002399,3.334409799
140,-14.52539823,-8.779977167,1.756175335,3.270838916,random,L,14,-5.614997601,-1.765590201
141,-4.122226568,-3.16886667,5.61273006,-4.743706472,random,L,15,-3.081664268,-5.232256867
142,5.50307028,-3.136393598,-5.733089523,7.936073241,random,L,16,2.635002399,0.484409799
143,-4.055404999,2.666255982,-7.561209203,-6.377798883,random,L,17,2.018335732,-0.132256867
144,-5.662384333,-7.752212379,-0.770794575,2.211388798,random,L,18,-5.248330935,1.601076466
145,1.920395868,-3.679132752,2.351538564,4.051850376,random,L,19,-4.064997601,-0.215590201
147,0.329805645,4.956849117,2.459290801,2.399659483,random,M,0,1.969280992,5.567743133
148,1.223063757,1.166064316,3.56063838,4.952291241,random,M,1,-9.697385675,-9.098923534
149,-4.266995195,-0.440504568,-5.09634982,-4.076454772,random,M,2,-1.330719008,-0.732256867
150,7.12271013,5.45956473,-12.71721641,-1.837625755,random,M,3,7.169280992,7.767743133
151,8.864711344,0.610536965,-1.574446064,3.456568233,random,M,4,-6.314052342,-2.715590201
152,-5.152298603,3.265904516,1.875762645,6.446718815,random,M,5,-0.980719008,-0.382256867
153,3.277896051,4.451407726,-2.826356858,-1.117342134,random,M,6,9.619280992,1.217743133
154,-1.93837876,-0.443950904,1.138243075,7.38308524,random,M,7,-6.497385675,0.101076466
155,5.791595118,4.492511067,-3.714331274,6.110010393,random,M,8,2.019280992,2.617743133
156,-3.202038445,7.36736568,-2.25640386,5.47515314,random,M,9,-3.680719008,-6.082256867
157,5.377310114,2.224709679,-2.606368914,2.727248172,random,M,10,-0.780719008,-0.182256867
158,-3.529010859,1.136636808,0.455658485,11.70913601,random,M,11,-0.314052342,-2.715590201
159,-1.419932144,4.610248879,-6.773338612,5.622339956,random,M,12,1.335947658,1.934409799
160,0.168096975,-2.555680792,-4.745557367,-2.629049058,random,M,13,16.85261432,11.45107647
161,8.474570688,11.12965121,-5.221158897,0.315919924,random,M,14,-2.330719008,-1.732256867
162,5.49561747,13.4343337,0.870017518,1.034725949,random,M,15,3.485947658,1.084409799
163,-8.360252258,0.745312349,6.737162804,-2.149091117,random,M,16,-5.880719008,-2.282256867
164,-1.040907059,8.453991167,-1.02066206,-3.949442847,random,M,17,-7.814052342,-1.215590201
165,2.258692042,-1.934825752,2.919151311,6.097269182,random,M,18,-3.497385675,0.101076466
166,-5.567623516,8.566476129,-17.74545195,-2.003218963,random,M,19,3.952614325,1.551076466
